rainfall,soil_moisture,slope_angle,vibration,pore_water_pressure,temperature,risk_score,risk_level
2.35,29.03,22.65,0.478,1.78,21.4,8.9,Safe
15.05,11.1,16.54,0.223,13.44,22.1,2.4,Safe
6.58,30.88,46.19,0.355,4.79,25.1,18.7,Safe
4.56,44.13,25.35,0.04,3.03,30.3,9.5,Safe
0.85,40.38,29.61,0.033,13.88,30.2,15.2,Safe
0.85,39.28,18.78,0.01,9.34,19.4,7.7,Safe
0.3,32.2,42.62,0.184,2.87,23.2,20.9,Safe
10.06,22.21,15.91,0.416,9.44,23.1,1.3,Safe
4.6,40.15,42.52,0.031,2.07,15.9,20.3,Safe
6.16,26.66,19.63,0.152,1.05,28.3,0.0,Safe
0.1,56.84,44.26,0.206,1.06,25.0,24.2,Safe
17.52,40.71,39.08,0.394,4.34,25.5,22.0,Safe
8.93,29.19,20.43,0.156,2.78,31.4,4.2,Safe
1.19,28.89,33.67,0.527,4.3,26.4,9.0,Safe
1.0,34.07,25.32,0.063,4.63,24.3,6.4,Safe
1.01,32.6,20.88,0.065,0.09,28.3,9.2,Safe
1.81,46.17,43.35,0.117,0.22,30.2,21.8,Safe
3.72,36.86,28.32,0.073,3.04,27.2,8.9,Safe
2.83,27.68,28.15,0.01,0.85,28.8,7.8,Safe
1.72,53.9,20.61,0.197,4.0,25.4,8.2,Safe
4.73,35.49,27.64,0.209,3.21,25.7,6.2,Safe
0.75,42.69,43.76,0.206,3.53,26.5,17.7,Safe
1.73,28.92,26.98,0.063,1.44,23.0,6.0,Safe
2.28,38.63,46.4,0.111,4.08,23.7,21.2,Safe
3.04,38.11,46.23,0.067,7.08,31.5,27.7,Safe
7.69,16.1,19.78,0.01,25.0,34.0,6.3,Safe
1.11,55.15,20.85,0.124,7.29,32.4,6.4,Safe
3.61,47.91,43.47,0.02,3.26,20.7,22.3,Safe
4.49,31.03,27.96,0.013,0.86,20.3,3.6,Safe
0.24,23.98,15.14,0.211,4.58,21.2,0.0,Safe
4.68,38.48,24.04,0.01,11.1,26.5,6.8,Safe
0.93,35.87,34.72,0.479,0.95,14.8,9.8,Safe
0.34,38.56,41.38,0.109,1.18,23.6,21.0,Safe
14.87,36.92,19.4,0.611,0.65,31.6,8.4,Safe
16.85,40.06,18.65,0.01,5.34,29.9,2.4,Safe
8.26,49.47,45.43,0.131,2.09,24.0,21.6,Safe
1.82,40.68,39.79,0.064,0.26,24.3,14.1,Safe
0.51,24.5,34.46,0.278,8.32,28.3,12.9,Safe
5.76,48.63,40.38,0.067,3.26,29.7,21.0,Safe
2.9,51.41,29.15,0.045,1.61,23.9,13.2,Safe
